record_id,country_of_origin,destination_country,origin_iso3,destination_iso3,year_of_migration,application_date,arrival_date,age,gender,marital_status,field_of_study,subfield,degree_level,prior_education_country,institution_type,institution_name,scholarship_type,scholarship_amount_usd,tuition_usd,living_cost_usd_monthly,funding_source,part_time_work_allowed,hours_worked_per_week,visa_type,visa_status,visa_expiry_date,language_test,language_score,gpa_4_scale,admission_decision,enrollment_status,duration_months,housing_type,on_campus_housing,dependents_count,nationality_status,region_origin,region_destination,application_channel,agent_name,travel_route,flight_cost_usd,covid_vaccination_status,health_insurance_provider,bank_balance_at_enrollment_usd,remittance_sent_usd,part_time_job_sector,student_id_external,notes
22,Italy  , aJpan ,ITA,  JPN,2012,2012-05 ,"Aug 17, 2012",35,  fEmaLE  ,  Widowed  ,Public Health,Machine Learning,Phd,IndIa, Private  ,National University,nonE,$0,"USD 36,082", $423 ,Loan??,Y,17,Training,Approved,26-11-2013,pTe,67,3.04,  Conditional Offer ,oN LeAVE  ,29, On-campus,Y,1,DuAl,eurOpe, Asia ,  Online Poratl  ,—,ITA-CDG-JAP,"$1,036",Partially Vaccinated,  AXA  ,"50,014 USD","£4,952", Logistics ,  S923259 ,bANk StaTEmENt ok*
23,Jordan,United States ,JOR%,USA,2020,  09/12/2019 00:00 ,08-05-2020,33,Other, widOwEd,rAts,Astrophysics,BAcHELoR,iRAq,Research,State Research University,None,€0,"48,700 USD","2,378 INR🙂",Scholarship,F,8,  Training  ,RejecTed,"  Apr 10, 2021 ",Duolingo,102,3.28,Conditional Offer,Enrolled,20,oFf-CaMpUs,0,0,ASYlum seEKeR,AuiSA,  Americas,WaLK-iN#,,JOR-FRA-UNI,"$1,091.00",Partially Vaccinated,AXA,"47,397","€10,178",Food Service,s185028,medical inusraance pending
24,gUanda🙂, HOnG koNg??  ,UGA,HKG,2011,21-10-2010,2011-06 00:00^,21,nON-BinaRY,  dIvooRCdE  ,Physics,finaNCe,Bachelor%,  Mongolia  ,Public,City Polytechnic,None@, USD0.00🙂 ,"€51,466","1,576 USD",mIxeD,F,18,reseaRch,Rejected,NA, dUOlInGo%,91,2.88,fOfer,wIThdRawn,10,Off-campus,T,0,DUAL,aFRIca,Asia,Email,Nil,UGA-ICN-LHR-HON," 1,616 USD ",Unknown,Allianz," USD51,895.00 ","$8,738.00",its suppORt,S797419,  BANk sTATeMNetk OK…
25,Syria,New Zealand,syR~,NZL,2019,2018-01,18-Jun-18,34,Other,DIVORceD^,Sociology,aStrophYSicS,Master,hTailand,Community,Northern Medical School,unIVeRsItY,"27,447~","11,184 USD^","USD 2,369",MixEd,F,18,Traniing,APpROvEd,11-10-2022, pte ,70,3.52,wAiTlSit*,ON LeAve ,16,On-campus,yes,2,Refugee,asIa,oceANIa,Aewgnt,GlobalEdu Ltd.,SYR-NEW,€925,fUlly vacciNATEd,  Local Plan ,"€53,173🙂","2,215.00",Logistics!,S676858,mEDICaL iNsuRAnce PendIng🙂 
26,Iran,pOrtUGal,IRN,pRT  ,2010,  30/10/2009… , ,21,MALE*,SINglE,Philosophy,MAchinE lEarninG,Master,PolAnd,Privaet,Central Arts Academy,None,£0,"47,559","1,941 USD", spoNsor ,N,16,Research,aPPrOved,2014-02-16!,Duolingo,102,3.25,cONDitIonaL OfFer,DefErRed…,32,Private Dorm,No,2,AySLuM sEekER,Asia,Europe,  AgEnt@ ,gLObALEdu grOUp,IRA-POR ," USD 1,881 ",Unknown,  AllIaNz^  ,USD 845,"€1,995",Logistics, s742464-2023  ,Ltae sUBmISsioN^
27,Mexcio,United Statse, MEX%,USA,2015,03-12-2015,06-07-2015,32,Female,  dIvOrcEd ,bioloGY  ,MIcroEcOnOMIcS,Bachelor, irAn,Private,inteRnAtionaL INstitUTE Of scIEnce,NOne🙂,USD 0,"32,082 USD","1,880.00",SPoNSOr,1,22,RsEEaRch,exPIRED,10-16-2017 , Ielts,6.9,3.46,OFFER,No-SHOw,23,Private Dorm,T,2,Asylum Seeker ,Americas,aMericaS,Walk-in! ,na,MEX-FRA-ICN-UNI,$395.00,Partially Vaccinated,  LoCaL pLan ,"39,833🙂"," 4,558 INR ",It supPorT, S909016  ,ieLTS re-TaKe advISEd
28,Nepal,mAlaYsiA,NPL,MYS,2022,08/22/2021 00:00,Jan-22,27,OtHER,sIngLE,  Engineering ,Networks,  Master,Jordan,Private,State Research University,None,£0!,17337,"$2,215.00",Loan,No,18, eXChaNGe  ,appRoVeD,27-Jul-25,iElTS,8,3.38,ConDitIOnAl OffER,no-sHOW,37,Shared Aaprtment,Yes,2,Refugee,asIA,Asia,AGEnT,  uNipath lLc  ,NEP-DOH-HKG-MAL,€667,  fUlLy VaCcinAteD,aLliANz  ,"USD15,464.00", USD 745 ,  i TsUpporT,  S139954/2025,IELTS ret-ake advised
29, FarncE ,  Malaysai  ,fsAr🙂,mYS,2024,24-04-2024, 2024/08/21,22,  Female@ ,sINGLe,  chemIstRY  ,  AsTrophYsiCs…  ,Bachelor,BanglaDEsH^, Technical ,State Research University,uNiVerSITY,994,"USD 55,127",877,SELf-fUndeD,0,24,tRAiNing,  undRE REVIepw  ,04-12-2029,IELTS,7.7,3.39,Offer, No-Show  ,52,Private Dorm,F,2,duAL,EuROPE,ASIa,AgeNt,GoAbroad Group,fRA-aUh-Ist-mal,"USD1,116.00^",Unknown,Allianz, 57364^,"$11,671",Food Service,  S316834#  ,late submission
RID-30, maLaYSIA,Denmark, MSY  ,DNK,2007,"Sep 20, 2006",17-09-2007,30,othEr,Married,Biology,urban PLANNiNg~,Bachelor,fRAnCe, Research  ,iNternatIOnal instItUtE OF scIencE,  NoNE ,$0,"USD 9,255",USD 767,Family  ,T,14,rEEsARCh ,aPPRovEd," Jun 20, 2008 ", TOEFL ,101,3.3,Waitlist,WITHdrAWN,22,hOMEStay^,Y,1,DUaL,Asia, EUropE,Agent,PathwayPro Inc.,  MAL-DEN$," £1,488 ",  UnKNowN! ,Cigna#,"$75,868","$2,089.00",None  ,S930869, visa interview scheduled@
31,Russia,United States, RUS ,USA??,2018,01-28-2018  ,15-03-2018,17, MAle  ,Divorced ,artS, STATisTiCS,BAcHEloR,Japan,TeCHNIclA,Coastal Business School,GOvernMEnt,495390," USD 13,399 ",£970,Sponsor  ,1,190, ReSearCH,penDign,25-07-2021,OTEFL,76,3.22,Reject ,Enrolled,36, Off-campus  ,1,0,Asylum Seeker,eUroPe,AmERicAS,Email,STUDYbRIDge AGECny,rus-nuI," USD1,265.00 ",fULlY VACCInATEd,LoCaL PLAN ,"16,122.00","USD 13,890",IT Support??,S719637-2022,visa interview scheduled
32,Cameroon,South Korea%,CMR,Kor,2016,"  Mar 06, 2016",2016-10,30,MALE,married,Environmental Science!,iNTERnAtIOnAL LaW~ ,PHd,  Ukraine ,Private,National University,uNIVerSItY,11241%,"£57,837",637,SPyNosOr^,0,21,Student,appRoVed,2019-04,DUolingO,81,2.38,  Watilist  ,nO-SHoW,12, prIVAte doRm ,no,0,Single,AfriCa,Asia,Walk-in,,CAM-LHR-HKG-SOU,"2,384",unvaccIaNtED,AlLIaNZ,"63,925.00","USD 1,672",  Retail ,S657419!,aGENT asIszsTed
33,Turkey,New Zealand,TUR,NZL^ ,2023,"Oct 20, 2022",  2023/08/61  ,28,Non-binary  , DIVORCeD,BiOlogY#,SociaL HTeOrY,MasTEr~,India,Public, iNTErnATIONaL iNstitUTE Of sCIeNcE ,University,231,"28,999.00",2176, Self-funded ,Yes,16,Training,PENdInG,09-10-2024,ToeFL,103,2.53,offeR, Withdrawn🙂 ,18,Homestay,Y,1,sTAteLEss, AsiA,Oceania,WAl-Kvin#, null ,tUR-CDG-Sin-NEW,"USD 1,052",Unvaccinated,AXA," USD 4,807^ ","USD8,662.00",HEaLtHcaRE,S111572-2023,Docs verified.🙂   followup  
34,eVnezuela,Czech Republic%,  VEN,CZE,2025,12/0224,02-03-2025 00:00,30,Nno-binary,DivoRCed,Sociology,eLECTRIcaL,Master,veNEzuela  ,Community,Northern Medical School,  Private ,"£29,375","$32,168","1,554",Scholarship,No,0,Exchange*,EXPirEd,01-12-2025,tOEFL,91,3.28,OfFER,Enrolled,11,OFf-cAMPUS,Y,2,Dual,aMErIcAS,euroPe, Walk-in  ,,VEN-AuH-cZe, USD 672 ,  PArtIally VACcINaTEd ,Bpua,"£45,103","USD 10,878",oNne,S988935!,agnet assisted
35,Myanmar,Denmark,MMr,DNK,2009, 2009/01/10  ,  22-Nov-2009  ,25,  Female,Single,Engineering,bIOINFoRMAtics,Phd,ThAilanD,Techincal,Coastal Business School,none, $0.00 ," $27,634.00 ",652,fAmilY,Y,21,Research,APpROVeD*,10-May-14,ToEfl,77,3.02,ofFer,WiThdrAWn,42,Shared Apartment,Yes,1,DUaL🙂,ASiA,EUrope@, Agent ,Nil, MYA-IST-FRA-DEN🙂 ,"USD1,061.00",Partially Vaccinated ,Local Plan,"$27,715.00"," USD 9,924 ",FzOod sERvICE,  s636795 ,  ltaE suBMissixOn 
36,Afghanistan,United States,AFG,USA,2019,2018-11,08-11-2019,31,nOn-bINaRy, Single  ,hPysics*,iNtEzrNaTIoNa lLAW,PhD,Afghanistan,ReSEaRCH,globaL tECH UNiverSity,pRiVAtE,"14,435 USD","27,691 INR",€753@,Mixed,no,21,STuDeNT,APpROvED, 04-08-2020, IELTS,4.8,3.76,Reject,Enrolled🙂,7,Homestwya,no,1,dual$,AsIA…,  AMeRicas  ,AgEnT,StudyWise Co.,AFG-DOH-NRT-UNI, 939 USD ,Unknown,Bupa,"51,599 USD","$4,723.00",IT sUpport,  S464592,bank statement ok!
37,Tunsiia ,Belgium,TUN,ebL,2008,2008-10,08-10-2009,34,fEmale,maRried ,ARTS, mICROEConOMiCs, MaSTer ,sOUtH Korea,Public,Golbal Tech University,paRtIaL,," £49,966 ","1,576 INR",Scholarship,N,24,rEsEARCH,  ON HolD  ,14-07-2013,pTe,56,3.36,wAItlisT,GraDUatED,13,Homestay,Yes,1,Asylum Seeker,Africa,eUROPe,Email,na,  TUN-DXB-BEL🙂 ,2213,uNKNOWN,loCAl PLAn ,"USD 68,099"," USD 1,777* ",nonE,s420997,fee waiver grankted follouwp
38,Malaysia,Finland,YMS,FIN,2013,Nov-12,14-03-2013,24,Non-binary, dIvORced,mAThEmATics,  climatE chANgE,CertIFIcATE,moRoCCo,Community,COaStal BUSiNeSS SChoOl#,University*,N/A,38886,936 USD, SPoNsOR,T,8, TrainING,Approved,Sep-16,Duolingo,91,3.32,cOnDitioNAl ofFer,Graduated,57,Off-campus,TRUE,1,Single,Asia,EuroPE,Walk-in,Nil,MAL-NRT-FIN,$867,unkNOWN,  Local Plan ,15565,"£8,261", FoOd SerVicE ,s371324/2023,needs transcirpt eval
39,IRQA,New eZaland,IRQ,  NZL  ,2010,2009-11,201u00/8/11,33, Other,DiVoRced,Physics,MecHaNICAl,PhD  ,Algeria, tECHNICal  ,Northern Medical School,None,0,"USD 56,354","1,904",SpOnsor,No,240,sTudenT,Rejected, 2011/03/26 ,  PTE ,52,4,RejeCT,On Leave,26,on-caMpus,TRUE,1,Asylum Seeker,Asia,  OcEaNiA  ,ONlINE Portal,,IRA-NEW$,"€2,468",FULlY vaCcInateD^,None,"63,599 USD","USD 3,168",Tutoring, S845093_2023 ,agent asissted
40,Zimbabwe,soUTh KoreA,ZWE@,KOR,2014,2014/1/122,28-12-2014,30,Male,iSngle,Data Science,Machine Learning ,baChELOR,spaIN, PUblIC,City Polytechnic,GobvrenMeNt,"USD13,918.00",NA,$791,Scholarship,Y,1,Exchange, Approved  ,"Dec 29, 2016 00:00",iPEt,75,2.81,WaITLIST,No-Show,57,Shared Apartment@,Y,0,SiNGle,AfRIcA!,  Asia ,WAL-kIN,,ZIM-NRT-SOU,"2,037 INR",Partially Vaccinated, CigNA,"$17,480.00","$12,527",it SUPPoRT,S256806,Docs veriifed.??
41,Afghanistan  ,wSmeden,AFG,SWE,2023,,24-01-2024,17,Non-binary ,Single,  Biology  ,CIVIL,  Master ,JAPan,ReseARCH,State Research University,noNe, £0 ,"51,637","USD 1,804",fAMILy  ,N,2,Training,ExPIReD,25-10-2025,pte,61,3.08,  CONDITIoNAL OfFEr,ON lEaVe,672,HoMEstaY!,F,0,Single,  Asia, euRoPe,AGENT,EduLink Co.,AFG-SWE,USD 340,Partially Vaccinated,ALlianz,"6,771"," $5,171* ",  FoOd SErVicE,S831410-2023 ,iELTS Re-TAke aDVIsEd
42,Italy,Japan,ITA,JPN,2019,  10/04/2091 ,01-14-2020,24,Non-binary ,  Single,Eductaion,Marketing,PHD*,Cameroon ,PrIvatE,National University,  None  ,0 INR,"£25,712~",704 USD🙂,famIly,F,7,Student,Approved,28-01-2024,PTe,58,3.72,Offer,Deferred,54, oN-CampUS  ,TRUE,1,  SAyLuM SeEKER  ,Europe,  asIA,Walk-in,,ITA-HKG-JAP,"USD 1,188",Unknown,Local Plan,NA,na,Tutorign, S970711/2025,bank statement ok
43,Brazil, United States, BRA  , USA  ,2007,19-May-07,  09-Aug-0207  ,28,Other*,  Single  ,Nursing,micrOECONoMicS, Bachelor ,Spain,pUBLiC  ,Northern Medical School,None,USD 0,"£18,870","1,906 USD",Loan,Y,4,Research🙂,apPRoVed,2009-01,PTE,65,3.59,Conditional Offer@,WitHDRAwn,37,Shared Apartment  ,0,0,sINGLE,Americas ,AMerICas,WaLK-IN  ,,BRA-AUH-LHR-UNI,"£2,395", Partiaslly Vaccniated,AetNa$ ,64760,"USD7,984.00",  noNE ,S810698,needs transcript eval…
44,Lebanon,geRmANY,LBN,DEU,2016,02-08-2015,14-03-2016 00:00,18,oTHER,WiDOweD,pHySiCs%,Electrical,Diploma  ,BrazIl,Private*,mETrOPOLiTan cOllEGe,Government,26171,"€59,787","USD 1,643",Family,Yes,12,StudENT  ,APpROveD!,04-04-2019,IELTS,7.6,2.62,Offer,Deferred,18,HOmesTay,F,1, Stateless*, Asia ,Europe🙂, Email  ,,LEB-AMS-SIN-GER^,£968,Fully vacCiNAteD,CIGna,"USD 9,828"," USD9,200.00 ",tutOriNG@,S274647,  ieLtS Re-tAke aDvIsEd
45,Ghana,qATar,GHA@,qaT,2013,11-04-2013,19-09-2013 00:00,33,MaLE ,siNgle,DATa scIENCe,Graphic Design,Bachelor~,  ZIMBBAWE,Community,Northern Medical School??,  nONE ,£0,"13,776.00",1265,Loan,yes,8,Student🙂,ApprOveD,"Jul 29, 2014",Duolingo,114,3.61,WaITlIst,  witHDrAWn,7,Off-campus,No,0,ASylUm SEekEr,afRicA ,asiA,wAlk-iN,Nil,GHA-HKG-QAT,"2,277 USD",Unknown,uBpA,"31,827 INR",£344,retAil,s864501/2025@,bank statement ok  
